year,hour,day,severity_kabco,lighting,alcohol,pedestrian,pedalcycle,county,city,street,lat,lon
2014,7,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,E Marcy St,35.68853,-105.93521
2014,9,Tuesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.65207,-105.997
2014,18,Tuesday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Alta Vista St,35.67105,-105.95515
2014,16,Saturday,C,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,Calle Dulcinea,35.63766,-105.96768
2014,21,Wednesday,A,Dark-Lighted,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.64958,-106.00102
2014,18,Wednesday,K,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.65591,-105.99055
2014,21,Monday,A,Dark-Lighted,0,1,0,Rio Arriba,Chili,Us 84,36.10635,-106.15099
2015,9,Saturday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Shelby St,35.68609,-105.93835
2015,14,Saturday,B,Daylight,0,0,1,Rio Arriba,,Cr142,36.17791,-106.18598
2015,13,Friday,B,Daylight,0,0,1,Santa Fe,Santa Fe,200 Paseo Real,35.62268,-106.10541
2015,8,Saturday,B,Daylight,0,0,1,Santa Fe,Eldorado At Santa Fe,Us 285 Sb,35.55489,-105.87871
2015,19,Sunday,K,Dark-Not Lighted,0,1,0,Santa Fe,Santa Fe,Interstate 25 South,35.59322,-106.05855
2015,1,Wednesday,A,Dark-Not Lighted,1,1,0,Santa Fe,Cuyamungue,Us 84 / 285 South,35.83643,-105.98607
2015,14,Friday,C,Daylight,0,1,0,Santa Fe,Santa Fe,4851 Paseo Del Sol,35.62397,-106.04022
2015,23,Friday,B,Dark-Lighted,1,0,1,Santa Fe,Santa Fe,Guadalupe,35.68826,-105.9434
2015,15,Monday,C,Daylight,0,1,0,Santa Fe,Santa Fe,3533 Zafarano,35.64069,-106.01173
2015,13,Saturday,B,Daylight,0,0,1,Santa Fe,Santa Fe,State Road 599,35.67284,-106.01564
2015,9,Thursday,B,Daylight,0,0,1,Santa Fe,Santa Fe,State Road 599,35.67733,-106.0145
2015,15,Tuesday,A,Daylight,1,0,1,Santa Fe,,New Mexico 14,35.56158,-106.05368
2015,13,Monday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrilos Rd,35.64958,-106.00102
2015,8,Tuesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,3299 Cerrillos Rd,35.64958,-106.00102
2015,14,Monday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.67762,-105.95388
2015,13,Friday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.66309,-105.97633
2015,12,Thursday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrillos,35.64958,-106.00102
2015,14,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Water Street,35.68691,-105.94132
2015,9,Friday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Cliff Palace,35.63112,-105.98658
2015,17,Saturday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Osage Avenue,35.66267,-105.97721
2015,15,Friday,C,Daylight,0,1,0,Rio Arriba,Espanola,1111 El Llano Rd,36.00724,-106.04068
2015,0,Saturday,B,Dark-Lighted,0,1,0,Santa Fe,Espanola,N Riverside Dr,35.99776,-106.06411
2015,9,Friday,B,Daylight,0,0,1,Santa Fe,,Old Las Vegas Hwy,35.57768,-105.89438
2015,15,Tuesday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Zepol/Spaces (1299 Zepol Road),35.64103,-106.02646
2015,8,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.63509,-106.01976
2015,15,Sunday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Agua Fria St,35.66324,-105.99736
2015,13,Monday,B,Daylight,1,1,0,Rio Arriba,Espanola,State Road 68,36.00634,-106.06511
2015,16,Tuesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Rufina Street,35.64714,-106.02052
2015,3,Wednesday,B,Dark-Lighted,0,1,0,Rio Arriba,La Mesilla,State Road 369,35.97427,-106.07008
2015,20,Friday,B,Dark-Not Lighted,0,1,0,Santa Fe,Nambe Pueblo,State Road 503,35.89748,-105.98789
2015,17,Monday,C,Daylight,0,0,1,Los Alamos,White Rock,Grand Canyon,35.82066,-106.20599
2015,17,Tuesday,B,Daylight,0,0,1,Santa Fe,Espanola,606 N Riverside Dr,35.99802,-106.06393
2015,21,Friday,K,Dark-Lighted,1,1,0,Rio Arriba,Ohkay Owingeh,State Road 68 Milepost 3.5,36.04036,-106.06235
2015,23,Thursday,K,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,Airport Rd,35.63527,-106.04838
2015,13,Monday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.66267,-105.97721
2015,8,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.65207,-105.997
2015,7,Monday,B,Daylight,0,1,0,Santa Fe,Santa Fe,3470 Cerrillos Rd,35.64693,-106.00534
2015,10,Saturday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Montezuma Ave,35.68496,-105.94563
2015,14,Saturday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Calle Contento,35.65388,-105.9614
2015,14,Saturday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Zia Rd,35.64703,-105.95645
2015,21,Monday,A,Dark-Not Lighted,0,1,0,Santa Fe,Santa Fe,West Alameda,35.68853,-105.94664
2015,16,Friday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Llano,35.65931,-105.97276
2015,7,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Hospital Dr,35.66028,-105.94848
2015,8,Monday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.655,-105.99217
2015,17,Tuesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Saint Francis Drive,35.68157,-105.95465
2015,18,Tuesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Sandoval St,35.68463,-105.94418
2015,20,Friday,C,Dark-Lighted,0,1,0,Santa Fe,Santa Fe,West Ave,35.68874,-105.95715
2015,10,Monday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Palace Ave,35.68159,-105.92369
2015,10,Thursday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Grant Ave,35.68833,-105.94064
2015,2,Wednesday,B,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,Galisteo St,35.68752,-105.94056
2015,17,Saturday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Sandovol,35.68789,-105.94183
2015,16,Sunday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Camino De Los Arroyos,35.63979,-106.01149
2015,11,Monday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Alamosa Dr,35.64963,-105.98473
2015,1,Sunday,K,Dark-Not Lighted,1,1,0,Santa Fe,Santa Fe,I 25 South-Bd Fw,35.60564,-106.03495
2015,20,Saturday,A,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,3000 Cerrillos Rd,35.655,-105.99217
2015,17,Wednesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Llano,35.6546,-105.97131
2015,15,Wednesday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Calle Jenah,35.63648,-106.05659
2015,15,Tuesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Paseo De Los Chamisos,35.64709,-105.97543
2015,8,Thursday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Camino De La Crucitas,35.69067,-105.9541
2015,10,Saturday,A,Daylight,0,1,0,Santa Fe,Santa Fe,I 25 North Bd Fw,35.62585,-105.98086
2015,9,Friday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Oancing Ground,35.62544,-106.01266
2015,19,Sunday,B,Dusk,0,0,1,Santa Fe,Santa Fe,Via Berrenda,35.63459,-105.97081
2015,15,Monday,A,Daylight,0,0,1,Santa Fe,Santa Fe,Yucca St,35.64561,-105.97381
2015,16,Monday,C,Daylight,0,1,0,Santa Fe,Santa Fe,St Frances Dr,35.67413,-105.95368
